n_filters1;n_filters2;n_kernel1;n_kernel2;dropout_1;dropout_2;n_batch;optim;best_val_acc
32;128;3;5;0.056229870832780804;0.1603763880022983;128;sgd;0.532800018787384
64;256;5;7;0.005553217359040852;0.48850025868977437;128;rmsprop;0.6851000189781189
128;256;7;7;0.2811907528782607;0.19749681333133445;128;adam;0.6672999858856201
64;32;5;5;0.4987765704119526;0.4956006935248156;64;adam;0.6341000199317932
128;64;7;7;0.39685786811007157;0.4182140362909876;256;rmsprop;0.6301000118255615
16;128;7;7;0.09520454408690054;0.04031922827183643;128;sgd;0.5271999835968018
128;64;7;3;0.4776618748329053;0.35951860246769524;64;rmsprop;0.6104000210762024
16;64;5;5;0.10549830270553806;0.14663551098307936;128;sgd;0.5315999984741211
32;128;7;7;0.3237079338781867;0.4079879962997267;64;rmsprop;0.5914000272750854
16;16;5;3;0.08512988272634009;0.38289668175817587;256;adam;0.6385999917984009
32;16;7;7;0.3440719950944908;0.12987198132770106;256;adam;0.6133000254631042
128;128;3;3;0.10886366508465367;0.15949721726303717;128;adam;0.7204999923706055
32;256;7;7;0.2155767503585937;0.40854267231048247;128;adam;0.6776999831199646
128;128;3;5;0.3792949467646811;0.05233126558007822;64;rmsprop;0.6845999956130981
32;32;5;3;0.14640024226702697;0.192025789974214;128;adam;0.6862999796867371
256;16;3;5;0.31734965942439713;0.1735761357429892;256;adam;0.6435999870300293
16;32;5;5;0.2046829453091943;0.3865244555500704;64;adam;0.6934999823570251
16;32;5;3;0.04894842628294771;0.20855937320102785;256;rmsprop;0.6510000228881836
64;32;7;3;0.018008820296075423;0.1705172337128903;128;rmsprop;0.6722000241279602
32;256;3;7;0.30912589266287765;0.20571840911588363;128;adam;0.7181000113487244
256;256;3;3;0.16573891556227227;0.29163333349951803;128;adam;0.7081000208854675
128;128;3;3;0.441802197655999;0.09487381064885478;128;adam;0.6965000033378601
128;256;3;7;0.24352542415259315;0.26455878571651176;128;adam;0.6980999708175659
32;128;3;3;0.2636727827576351;0.0004408123934172281;128;sgd;0.5133000016212463
256;256;3;3;0.17035071327763623;0.31777318247266184;128;adam;0.6972000002861023
128;256;3;7;0.13292974780221334;0.2476603672818696;128;adam;0.7178000211715698
32;128;3;3;0.2988512324741086;0.11152495202891557;128;adam;0.6966999769210815
128;256;3;7;0.2205464420319042;0.0715594130052355;128;sgd;0.5493000149726868
32;128;3;3;0.3791381536650041;0.2556475553682519;128;adam;0.6769000291824341
64;16;3;7;0.05722509888769301;0.2235693509779882;128;sgd;0.5223000049591064
256;64;3;7;0.18695558636580062;0.013035922998727273;128;adam;0.6708999872207642
32;128;3;3;0.24750499184552305;0.33272711012983847;64;adam;0.6916999816894531
64;256;3;5;0.0031063025469290073;0.4627586444884015;128;adam;0.7347000241279602
64;256;3;5;0.007678611465556345;0.4513965984408232;256;adam;0.7199000120162964
64;128;3;5;0.044996515205544436;0.46361213121317335;128;sgd;0.5331000089645386
64;64;3;5;0.12514566967742005;0.29383708530181035;64;adam;0.7145000100135803
64;256;3;5;0.002191580822940145;0.4748973359355016;128;rmsprop;0.7436000108718872
64;256;5;5;0.001533113254219236;0.49675240381523733;256;rmsprop;0.6862000226974487
64;256;7;5;0.07771861718586164;0.47504882584580427;128;rmsprop;0.6601999998092651
64;256;3;5;0.016652048733672847;0.43578494387105904;64;rmsprop;0.7138000130653381
64;256;5;5;0.036238860837485454;0.3666106271324656;128;rmsprop;0.7050999999046326
64;256;7;5;0.08269780533994327;0.49671825801214786;256;rmsprop;0.6739000082015991
64;64;3;5;0.4562317516491726;0.42712982489299733;128;rmsprop;0.7064999938011169
64;16;3;5;0.06661989548966873;0.3464014790657848;64;rmsprop;0.6647999882698059
16;256;7;5;0.10880552782733693;0.3858305243993455;128;sgd;0.5419999957084656
64;32;5;5;0.03304914638206999;0.47478851002326533;256;rmsprop;0.6710000038146973
64;16;3;5;0.1571495747770983;0.4454165556533131;128;rmsprop;0.6905999779701233
256;64;7;5;0.12834226702497098;0.39372112136570725;64;sgd;0.5527999997138977
16;256;5;5;0.3377530760316044;0.41612810367167147;128;rmsprop;0.7114999890327454
64;256;3;5;0.4054527174722028;0.36239952093016675;256;rmsprop;0.7128999829292297
64;32;3;5;0.0984417154932768;0.29336712458491015;128;rmsprop;0.7049999833106995
16;256;7;5;0.2765609128769935;0.31779391476442004;128;sgd;0.5166000127792358
256;16;5;5;0.000732003584846408;0.4025041570287742;64;rmsprop;0.6277999877929688
64;256;3;5;0.18572721029673123;0.49957112859003594;128;adam;0.7161999940872192
64;32;3;5;0.22379663555583926;0.46704185074041143;256;rmsprop;0.6736999750137329
128;64;3;5;0.49095468125753566;0.3709357261555487;128;adam;0.6952000260353088
16;256;7;7;0.026960221996379017;0.2744264981487384;128;sgd;0.5360000133514404
256;256;5;5;0.059147867665490524;0.3402598904797295;128;adam;0.683899998664856
64;16;3;7;0.14744286689403946;0.2323874392312036;64;rmsprop;0.6685000061988831
128;32;3;5;0.1961273427271591;0.4179731128363571;128;adam;0.6657000184059143
32;256;3;3;0.1159288053713026;0.4838795516558829;256;adam;0.6990000009536743
64;64;3;5;0.3632069959498618;0.45303093910671866;128;sgd;0.5052000284194946
256;256;7;7;0.4277854988122365;0.3105747168760475;128;adam;0.6507999897003174
